Epoch,PSNR
1,27.93981747230715   
2,30.335307829577545
3,31.0908556085542
4,31.61503333631391
5,31.932085081460144
6,32.080441180721714
7,32.29830154573865
8,32.53692693022063
9,32.35409563424183
10,32.55402168673774
11,32.537816068554584
12,33.00143661301496
13,33.05865998958392
14,33.143653767073516
15,33.19913504814583
16,33.15957898900841
17,33.200331396317566
18,33.16911110777214
19,33.2393011208752
20,33.28215196927711
21,33.35984991106617
22,33.35017992378248
23,33.38587228293042
24,33.421997306196374
25,33.37816400773508
26,33.37662149604948
27,33.401165595487456
28,33.40711897962767
29,33.440149113551925
30,33.42977035459785
31,33.473808033743104
32,33.48302429614471
33,33.4641493819856
34,33.47567056824613
35,33.4614514163208
36,33.478301638345116
37,33.48611173187524
38,33.47654026333686
39,33.50957549391232
40,33.50427048681475
41,33.48973163502642
42,33.50778384634343
43,33.50890862191528
44,33.519288974913025
45,33.49072976269801
46,33.53655054489009
47,33.51044126743084
48,33.512544872369524
49,33.497562448931426
50,33.46382487560969
51,33.52814441132783
52,33.53773521261186
53,33.5496199304068
54,33.53779885715427
55,33.53793146937702
56,33.50625308337802
57,33.53749249557011
58,33.53453766724557
59,33.537203819280194
60,33.52824617646384
61,33.54494606664802
62,33.54080792297998
63,33.54044694083224
64,33.53685459496959
65,33.543790054797356
66,33.53326834143999
67,33.53570430319374
68,33.54018506375392
69,33.537606538345656
70,33.54201247385392
71,33.54359964899514
72,33.54071727444391
73,33.53923337945686
74,33.5373608536283
75,33.53872123450724
76,33.5329071907297
77,33.543524121558626
78,33.54555843411187
79,33.54334550622783
80,33.53719217026317
81,33.53884828556618
82,33.54539696811576
83,33.53673063066917
84,33.53888551856773
85,33.54347924404718
86,33.539242772963746
87,33.54440456571484
88,33.54486025482432
89,33.539940505774666
90,33.541224458898924
91,33.54209714584438
92,33.54163221707915
93,33.54266441395596
94,33.54339437260022
95,33.53861109123225
96,33.54056351496963
97,33.544326991507496
98,33.54539810370481
99,33.53996178617946
100,33.544998090196835
