Epoch,PSNR
1,28.297812726021903
2,30.348242404863697
3,30.849172200524556
4,31.311242498199135
5,31.712203306222147
6,32.05213657174899
7,31.995662222537533
8,32.42018383302503
9,32.36304769742975
10,32.77578059672904
11,33.015241920917674
12,33.022298207233554
13,33.09321771025364
14,33.153012084247266
15,32.98705863880334
16,33.20067072186794
17,33.11226645213608
18,33.18327492651018
19,33.15988004044206
20,33.16225653258827
21,33.31674361369965
22,33.35364381632767
23,33.35581490493911
24,33.358467796165634
25,33.34737774781096
26,33.34525905745901
27,33.34799521461692
28,33.338799460435325
29,33.30732111871224
30,33.32150087113484
31,33.42180435633509
32,33.40535966143554
33,33.40033266340416
34,33.38095914761446
35,33.409948830476154
36,33.39291625425097
37,33.41819449045632
38,33.395372949178956
39,33.416205016454015
40,33.42796011750439
41,33.42871068667515
42,33.42188995278264
43,33.42528108139554
44,33.42067176111897
45,33.427574668901244
46,33.433852830484
47,33.4277890205205
48,33.43187075157434
49,33.42166524781723
50,33.409067562445074
51,33.43252392778628
52,33.44812557806428
53,33.41918752148974
54,33.451531409268895
55,33.428413966028394
56,33.44693302880365
57,33.41605102609692
58,33.4008945677994
59,33.43552223215124
60,33.45783117956412
61,33.4490199640196
62,33.446936715445986
63,33.44853354502748
64,33.42940985555309
65,33.44465596243522
66,33.43977984685761
67,33.445564181604276
68,33.43643894138953
69,33.45588881204257
70,33.4425828593824
71,33.442506259823986
72,33.442805004982745
73,33.440256626171454
74,33.4355400045301
75,33.44277275135015
76,33.44144387759531
77,33.44050275026412
78,33.44587244161618
79,33.4419840519198
80,33.440180181777
81,33.4428071982774
82,33.443610650821974
83,33.440638211137035
84,33.438746063854744
85,33.45022994262464
86,33.45068171162628
87,33.44870324556809
88,33.44437964432413
89,33.44594747754253
90,33.449343338421926
91,33.439633943129465
92,33.443101378669795
93,33.445869162466835
94,33.440970925327704
95,33.44489895308419
96,33.44627397430912
97,33.44511081275252
98,33.444195175893256
99,33.44505190174276
100,33.44373125562533
